Isolate ID	Data	Data Type	Predicted Phenotype	CGE Predicted Phenotype	%Identity	%Overlap	HSP Length/Total Length	Contig	Start	End	Accession
MR04	ST59 (saureus)	MLST									
MR04	rep16	Plasmid			99.6	100.0	744/744	contig_2_polish	2507	1764	GQ900401
MR04	rep16	Plasmid			99.6	100.0	744/744	contig_2_polish	30668	29925	GQ900401
MR04	rep19	Plasmid			99.7	100.0	984/984	contig_2_polish	2933	3916	AB699881
MR04	rep19	Plasmid			99.7	100.0	984/984	contig_2_polish	31094	32077	AB699881
MR04	rep7a	Plasmid			100.0	100.0	570/570	contig_2_polish	25455	26024	SAU38656
MR04	rep7a	Plasmid			100.0	100.0	570/570	contig_2_polish	53620	54189	SAU38656
MR04	aac(6')-aph(2'')	Resistance	unknown[aac(6')-aph(2'')_1_M13771]	Gentamicin, Tobramycin, Netilmicin, Kanamycin, Amikacin, Dibekacin, Isepamicin, Fortimicin, Streptomycin	100.0	100.0	1440/1440	contig_1_polish	619178	617739	M13771
MR04	aac(6')-aph(2'')	Resistance	amikacin, gentamicin, tobramycin	Gentamicin, Tobramycin, Netilmicin, Kanamycin, Amikacin, Dibekacin, Isepamicin, Fortimicin, Streptomycin	100.0	100.0	1440/1440	contig_1_polish	619178	617739	M13771
MR04	ant(6)-Ia	Resistance	unknown[ant(6)-Ia_1_AF330699]	Streptomycin	99.88	88.45	804/909	contig_1_polish	617575	616772	AF330699
MR04	ant(6)-Ia	Resistance	streptomycin	Streptomycin	99.88	88.45	804/909	contig_1_polish	617575	616772	AF330699
MR04	aph(3')-III	Resistance	unknown[aph(3')-III_1_M26832]	Kanamycin, Amikacin, Neomycin, Butirosin, Isepamicin, Lividomycin, Paromomycin, Ribostamycin	100.0	100.0	795/795	contig_1_polish	616140	615346	M26832
MR04	aph(3')-III	Resistance	kanamycin, amikacin	Kanamycin, Amikacin, Neomycin, Butirosin, Isepamicin, Lividomycin, Paromomycin, Ribostamycin	100.0	100.0	795/795	contig_1_polish	616140	615346	M26832
MR04	blaZ	Resistance	unknown[blaZ_29_JDXN01000019]	Amoxicillin, Ampicillin, Penicillin, Piperacillin	99.89	100.0	900/900	contig_2_polish	15790	14891	JDXN01000019
MR04	blaZ	Resistance	unknown[blaZ_29_JDXN01000019]	Amoxicillin, Ampicillin, Penicillin, Piperacillin	99.89	100.0	900/900	contig_2_polish	43955	43056	JDXN01000019
MR04	blaZ	Resistance	ampicillin	Amoxicillin, Ampicillin, Penicillin, Piperacillin	99.89	100.0	900/900	contig_2_polish	15790	14891	JDXN01000019
MR04	blaZ	Resistance	ampicillin	Amoxicillin, Ampicillin, Penicillin, Piperacillin	99.89	100.0	900/900	contig_2_polish	43955	43056	JDXN01000019
MR04	erm(B)	Resistance	unknown[erm(B)_18_X66468]	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	99.61	100.13	763/762	contig_1_polish	614621	613859	X66468
MR04	erm(B)	Resistance	erythromycin, azithromycin	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	99.61	100.13	763/762	contig_1_polish	614621	613859	X66468
MR04	mecA	Resistance	unknown[mecA_2_NC_002951]	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	100.0	100.0	2007/2007	contig_1_polish	816613	814607	NC_002951
MR04	mecA	Resistance	penicillin	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	100.0	100.0	2007/2007	contig_1_polish	816613	814607	NC_002951
MR04	tet(K)	Resistance	unknown[tet(K)_1_U38656]	Doxycycline, Tetracycline	100.0	100.0	1380/1380	contig_2_polish	22122	23501	U38656
MR04	tet(K)	Resistance	unknown[tet(K)_1_U38656]	Doxycycline, Tetracycline	100.0	100.0	1380/1380	contig_2_polish	50287	51666	U38656
MR04	tet(K)	Resistance	tetracycline	Doxycycline, Tetracycline	100.0	100.0	1380/1380	contig_2_polish	22122	23501	U38656
MR04	tet(K)	Resistance	tetracycline	Doxycycline, Tetracycline	100.0	100.0	1380/1380	contig_2_polish	50287	51666	U38656
